model,Rank,MAE,RMSE,MASE,sMAPE,delta_MAE,delta_RMSE,delta_MASE,delta_sMAPE
TabPFN,1,163.21,245.66,0.42,15.19,,,,
XGBoost,2,192.29,289.82,0.49,18.93,29.08,44.16,0.07,3.74
TabPFN_NoWeather,3,244.47,360.18,0.63,20.58,81.26,114.52,0.21,5.39
Seasonal_Naive,4,396.65,619.55,1.02,33.28,233.44,373.89,0.6,18.09
Prophet,5,588.28,765.24,1.51,68.24,425.07,519.58,1.09,53.05
NeuralProphet,6,818.8,1069.75,2.1,75.59,655.59,824.09,1.68,60.4
NeuralProphet_NoWeather,7,825.35,1100.03,2.12,73.44,662.14,854.37,1.7,58.25
SARIMAX,8,883.39,1071.55,2.25,80.07,720.18,825.89,1.83,64.88
ARIMA,9,1021.37,1344.58,2.62,91.78,858.16,1098.92,2.2,76.59
