Horizon,NeuralProphet,NeuralProphet_NoWeather,Improvement,Improvement_%
6,1204.2836226145423,1247.175874436875,42.89,3.44
24,644.1128537664608,630.4540240318597,-13.66,-2.17
48,741.8271910939875,722.5101670577227,-19.32,-2.67
168,581.323764299211,566.0687810388551,-15.25,-2.69
Mean,792.89,791.55,-1.34,-1.02
