Horizon,TabPFN,TabPFN_NoWeather,Improvement,Improvement_%
6,162.63961222966515,250.6391797065735,88.0,35.11
24,170.89492852687837,259.76857395172124,88.87,34.21
48,156.85606072743732,247.9522692203521,91.1,36.74
168,162.45458194244475,219.50576613006143,57.05,25.99
Mean,163.21,244.47,81.26,33.01
