Horizon,TabPFN,TabPFN_NoWeather,Improvement,Improvement_%
6,176.6058878713725,193.43335436250075,16.83,8.7
24,227.10966901746733,266.2092442411955,39.1,14.69
48,237.55273802879728,284.5100824161957,46.96,16.51
168,217.8942434466616,292.41175901743827,74.52,25.48
Mean,214.79,259.14,44.35,16.35
