MAE,RMSE,MASE,sMAPE,dataset,run_name,version,timestamp,fold,model,horizon,weather_scenario,model_uses_covariates,degradation_seed,num_weather_vars,test_imputed,train_imputed
16.992522557576496,18.88016267948047,0.3436479048904453,24.557682001505544,washington,washington_t5-01,t5-01,2026-03-13T20:37:55.825715,1,TabPFN_NoWeather,6,clean_only,False,42,0,0,2
74.39881609301901,91.29063682025613,1.5284348925454054,38.00052587410712,washington,washington_t5-01,t5-01,2026-03-13T20:37:58.219471,0,SARIMAX,6,degraded,True,42,8,0,2
45.5306592484998,45.83630331353263,0.9207882823760848,43.76973152016137,washington,washington_t5-01,t5-01,2026-03-13T20:38:04.365769,1,SARIMAX,6,degraded,True,42,8,0,2
101.2651646931966,111.333811116735,2.08037196348561,55.07830444018498,washington,washington_t5-01,t5-01,2026-03-13T20:38:05.639868,0,XGBoost,6,degraded,True,42,12,0,2
69.63133494059245,72.54637948897856,1.408187765293878,60.02105528325819,washington,washington_t5-01,t5-01,2026-03-13T20:38:06.841980,1,XGBoost,6,degraded,True,42,12,0,2
81.17579778035481,102.52666107851071,1.6676598939770777,42.26155238363791,washington,washington_t5-01,t5-01,2026-03-13T20:38:07.428787,0,TabPFN,6,degraded,True,42,8,0,2
21.57410430908203,27.258749251715088,0.4363034223190316,29.22316647965169,washington,washington_t5-01,t5-01,2026-03-13T20:38:07.810544,1,TabPFN,6,degraded,True,42,8,0,2
732.3333333333334,945.3159965500073,2.35990269484725,55.408827208574266,london,london_t5-01,t5-01,2026-03-13T20:38:12.492003,0,Seasonal_Naive,6,clean_only,False,42,0,0,0
429.1666666666667,715.1907670917832,1.3485116532882693,49.49928307971417,london,london_t5-01,t5-01,2026-03-13T20:38:12.492079,1,Seasonal_Naive,6,clean_only,False,42,0,0,0
436.5348171769699,761.4991131721647,1.4067087275155887,30.638733513789024,london,london_t5-01,t5-01,2026-03-13T20:38:13.289598,0,ARIMA,6,clean_only,False,42,0,0,0
1914.617522269866,1982.700975047034,6.01604048241746,125.25967721246654,london,london_t5-01,t5-01,2026-03-13T20:38:13.306906,1,ARIMA,6,clean_only,False,42,0,0,0
620.7277552505756,870.2904984736504,2.0002600396663417,46.51328060718309,london,london_t5-01,t5-01,2026-03-13T20:38:34.417683,0,SARIMAX,6,clean_only,True,42,8,0,0
1899.0365399933123,1955.565234081957,5.967082495226134,125.58013906022569,london,london_t5-01,t5-01,2026-03-13T20:38:48.296398,1,SARIMAX,6,clean_only,True,42,8,0,0
460.80176798502606,796.5062145544222,1.4849076022643244,34.33396044823704,london,london_t5-01,t5-01,2026-03-13T20:38:48.966722,0,XGBoost,6,clean_only,True,42,12,0,0
1050.9208374023438,1113.616456573392,3.3021646506886064,104.39899239769217,london,london_t5-01,t5-01,2026-03-13T20:38:49.354919,1,XGBoost,6,clean_only,True,42,12,0,0
442.8301086425781,776.932436975274,1.426994947763023,32.60307036809115,london,london_t5-01,t5-01,2026-03-13T20:38:49.938738,0,TabPFN,6,clean_only,True,42,8,0,0
437.52264404296875,455.21098884023786,1.374767496860828,68.75622374703462,london,london_t5-01,t5-01,2026-03-13T20:38:50.311100,1,TabPFN,6,clean_only,True,42,8,0,0
438.1416320800781,788.5969557943179,1.4118865975474038,32.0259807121611,london,london_t5-01,t5-01,2026-03-13T20:38:50.841067,0,TabPFN_NoWeather,6,clean_only,False,42,0,0,0
392.6139628092448,425.2396312375009,1.2336570969132903,58.81583088738047,london,london_t5-01,t5-01,2026-03-13T20:38:51.181229,1,TabPFN_NoWeather,6,clean_only,False,42,0,0,0
630.7974982399738,883.442749049286,2.032709216203119,47.42298473972855,london,london_t5-01,t5-01,2026-03-13T20:39:12.312123,0,SARIMAX,6,degraded,True,42,8,0,0
1856.091723598992,1918.4674349101003,5.832142878862485,124.4433933319546,london,london_t5-01,t5-01,2026-03-13T20:39:25.990693,1,SARIMAX,6,degraded,True,42,8,0,0
460.80176798502606,796.5062145544222,1.4849076022643244,34.33396044823704,london,london_t5-01,t5-01,2026-03-13T20:39:26.644446,0,XGBoost,6,degraded,True,42,12,0,0
1050.9208374023438,1113.616456573392,3.3021646506886064,104.39899239769217,london,london_t5-01,t5-01,2026-03-13T20:39:27.061206,1,XGBoost,6,degraded,True,42,12,0,0
536.7522379557291,930.548335581642,1.7296536906923317,42.93036243054284,london,london_t5-01,t5-01,2026-03-13T20:39:27.682435,0,TabPFN,6,degraded,True,42,8,0,0
393.5821075439453,433.8375234315916,1.2366991655505253,62.958075394059655,london,london_t5-01,t5-01,2026-03-13T20:39:28.063370,1,TabPFN,6,degraded,True,42,8,0,0
