MAE,RMSE,MASE,sMAPE,dataset,run_name,version,timestamp,fold,model,horizon,weather_scenario,model_uses_covariates,degradation_seed,num_weather_vars,test_imputed,train_imputed
152.83333333333334,175.6260231286924,0.5348700362975887,24.57981411757882,seoul,seoul_v5,v5,2026-03-15T20:03:57.688645,0,Seasonal_Naive,6,clean_only,False,42,0,0,48
480.5,656.9458374427327,1.6803772654779932,47.00330467796756,seoul,seoul_v5,v5,2026-03-15T20:03:57.688982,1,Seasonal_Naive,6,clean_only,False,42,0,0,48
99.33333333333331,152.3778199082793,0.3465715024212331,7.278526952562469,seoul,seoul_v5,v5,2026-03-15T20:03:57.689283,2,Seasonal_Naive,6,clean_only,False,42,0,0,48
379.0,567.9706565190377,1.3217223890362904,18.4822049373108,seoul,seoul_v5,v5,2026-03-15T20:03:57.689572,3,Seasonal_Naive,6,clean_only,False,42,0,0,48
90.83333333333331,111.21076087022035,0.3161691565678713,15.30745555569491,seoul,seoul_v5,v5,2026-03-15T20:03:57.689862,4,Seasonal_Naive,6,clean_only,False,42,0,0,48
168.16666666666666,177.10778262591023,0.5851499601938608,25.220929928751616,seoul,seoul_v5,v5,2026-03-15T20:03:57.690148,5,Seasonal_Naive,6,clean_only,False,42,0,0,48
178.33333333333334,193.2269822428189,0.6200488691363085,17.802668445810685,seoul,seoul_v5,v5,2026-03-15T20:03:57.690430,6,Seasonal_Naive,6,clean_only,False,42,0,0,48
95.0,107.32194556566704,0.3300203895339413,6.245051442169944,seoul,seoul_v5,v5,2026-03-15T20:03:57.690709,7,Seasonal_Naive,6,clean_only,False,42,0,0,48
213.16666666666663,249.9896664531023,0.7402605081671755,39.73453094480314,seoul,seoul_v5,v5,2026-03-15T20:03:57.690989,8,Seasonal_Naive,6,clean_only,False,42,0,0,48
503.5,694.559212738554,1.7472194928232192,55.93921574062285,seoul,seoul_v5,v5,2026-03-15T20:03:57.691273,9,Seasonal_Naive,6,clean_only,False,42,0,0,48
164.0,181.4019478028465,0.5678262836308475,17.975307314512808,seoul,seoul_v5,v5,2026-03-15T20:03:57.691553,10,Seasonal_Naive,6,clean_only,False,42,0,0,48
468.5,572.968730967639,1.620902038052367,23.926494841006075,seoul,seoul_v5,v5,2026-03-15T20:03:57.691839,11,Seasonal_Naive,6,clean_only,False,42,0,0,48
108.0,143.4700897980714,0.3727815616483642,19.69081683938951,seoul,seoul_v5,v5,2026-03-15T20:03:57.692119,12,Seasonal_Naive,6,clean_only,False,42,0,0,48
34.833333333333336,49.15112748791561,0.1201786508101928,4.257007183318065,seoul,seoul_v5,v5,2026-03-15T20:03:57.692397,13,Seasonal_Naive,6,clean_only,False,42,0,0,48
126.33333333333331,142.6873038033401,0.4358270527209962,13.681507094239969,seoul,seoul_v5,v5,2026-03-15T20:03:57.692670,14,Seasonal_Naive,6,clean_only,False,42,0,0,48
76.16666666666667,99.28830075425134,0.2626201044438009,3.492376606324917,seoul,seoul_v5,v5,2026-03-15T20:03:57.692983,15,Seasonal_Naive,6,clean_only,False,42,0,0,48
29.5,34.8448944131944,0.1017063956392675,7.651151862539598,seoul,seoul_v5,v5,2026-03-15T20:03:57.693280,16,Seasonal_Naive,6,clean_only,False,42,0,0,48
37.5,48.947250518628046,0.1293318110518987,4.137748614091671,seoul,seoul_v5,v5,2026-03-15T20:03:57.693563,17,Seasonal_Naive,6,clean_only,False,42,0,0,48
53.16666666666666,75.56343913119183,0.1834212477922541,5.966419568399109,seoul,seoul_v5,v5,2026-03-15T20:03:57.693845,18,Seasonal_Naive,6,clean_only,False,42,0,0,48
