dataset,run_name,version,timestamp,model,horizon,weather_scenario,model_uses_covariates,degradation_seed,num_weather_vars,n_folds,MAE_mean,MAE_std,RMSE_mean,RMSE_std,MASE_mean,MASE_std,sMAPE_mean,sMAPE_std,total_test_imputed,total_train_imputed,folds_with_imputed_test
seoul,seoul_v5,v5,2026-03-15T20:03:57.694859,Seasonal_Naive,6,clean_only,False,42,0,20,175.35,155.1859844382922,224.4650513214036,213.3394233279643,0.6091877135567445,0.5400640581036728,18.026795974069405,14.973443712807326,0,960,0
seoul,seoul_v5,v5,2026-03-15T20:03:59.316492,Seasonal_Naive,24,clean_only,False,42,0,20,150.99375,110.2441131643334,213.17325709163904,169.40452326530695,0.5182238447932797,0.3799485391941422,16.613521803950334,11.538388197657348,0,960,0
seoul,seoul_v5,v5,2026-03-15T20:03:59.527705,Seasonal_Naive,48,clean_only,False,42,0,20,190.01041666666663,88.83693118660453,287.9129208139881,136.84435400422333,0.6413720654335496,0.3029183291871014,21.18502388582551,9.396289255991867,0,960,0
seoul,seoul_v5,v5,2026-03-15T20:03:59.753953,Seasonal_Naive,168,clean_only,False,42,0,20,329.7681547619048,219.75838945754185,480.0101797485156,251.20904687185,1.056070263201908,0.6862753487555745,47.774992692279845,40.6178176191837,247,2369,5
seoul,seoul_v5,v5,2026-03-15T20:04:10.760496,ARIMA,6,clean_only,False,42,0,20,537.02300577522,229.42302498806853,614.1649558703466,226.3848302191216,1.8613233941107403,0.7933672751962306,59.27785880761021,34.31820823320998,0,960,0
seoul,seoul_v5,v5,2026-03-15T20:04:21.300623,ARIMA,24,clean_only,False,42,0,20,558.2838520894054,57.68404583498637,631.5783357366079,66.09985718535397,1.9136413917395072,0.2112063188032929,54.993243687642085,3.608371993898361,0,960,0
seoul,seoul_v5,v5,2026-03-15T20:04:31.873870,ARIMA,48,clean_only,False,42,0,20,548.3677066166413,59.011126950206375,627.6671974897469,64.88754641636942,1.850694233217392,0.2087484817966594,55.34113810641969,3.9635647862417023,0,960,0
seoul,seoul_v5,v5,2026-03-15T20:04:42.227473,ARIMA,168,clean_only,False,42,0,20,590.2393975196971,167.3626857901654,692.942389530377,185.46373235597687,1.9061466474404496,0.5243151694639114,73.53890181692023,37.80582565244056,247,2369,5
seoul,seoul_v5,v5,2026-03-15T21:33:28.478536,SARIMAX,6,clean_only,True,42,9,20,224.8373840894904,124.41113074431252,271.506382031029,153.2893478762369,0.7794316579809,0.4310923886109426,24.55201691124888,15.7910943026211,0,960,0
seoul,seoul_v5,v5,2026-03-15T23:01:09.126532,SARIMAX,24,clean_only,True,42,9,20,242.42669308245635,88.26885824891542,295.4960228848496,123.79022713824789,0.8317495875822163,0.3073835753860764,28.85100394627014,7.51267999486299,0,960,0
seoul,seoul_v5,v5,2026-03-16T00:29:37.900651,SARIMAX,48,clean_only,True,42,9,20,288.98000646214143,74.875796792683,360.7327348401712,102.12301022261936,0.975456707079241,0.2565429603160981,34.05118087524404,6.20416796604003,0,960,0
seoul,seoul_v5,v5,2026-03-16T01:56:34.496746,SARIMAX,168,clean_only,True,42,9,20,685.3778483402095,528.3909539862956,792.1528462978347,552.3799642300927,2.188131530806772,1.5937926004614964,79.40027205320379,53.91818095013517,247,2369,5
seoul,seoul_v5,v5,2026-03-16T01:58:06.477053,XGBoost,6,clean_only,True,42,13,20,131.79941469828287,94.3041192316857,151.12652743998564,107.40658855374672,0.4574803768501531,0.328933964126683,12.512198394112476,6.684306456397326,0,960,0
seoul,seoul_v5,v5,2026-03-16T01:59:39.953128,XGBoost,24,clean_only,True,42,13,20,109.784810479482,57.31541241888473,144.78277976560753,75.67145079687282,0.3775746503704244,0.200708091387649,11.573282991891464,5.641755386468509,0,960,0
seoul,seoul_v5,v5,2026-03-16T02:01:14.230217,XGBoost,48,clean_only,True,42,13,20,128.1121121565501,57.98515963584702,179.64734067379192,85.95932338024508,0.4328128248861198,0.200091035009851,13.723414825892922,5.069282272394676,0,960,0
seoul,seoul_v5,v5,2026-03-16T02:02:54.161704,XGBoost,168,clean_only,True,42,13,20,187.7960113797869,63.38239969785933,275.7979357244738,91.75083002730791,0.6068491543035124,0.2003728243977399,25.38981138193155,11.908352849836096,247,2369,5
seoul,seoul_v5,v5,2026-03-16T02:03:30.387696,TabPFN,6,clean_only,True,42,9,20,123.438138961792,125.76300293016482,158.26353676153047,163.18162277793274,0.4282442049117835,0.4360144888711894,11.157397599579925,8.610696342147682,0,960,0
seoul,seoul_v5,v5,2026-03-16T02:04:05.984889,TabPFN,24,clean_only,True,42,9,20,100.7378395398458,69.64505195264724,150.67740425184033,115.34475511209608,0.3460724552462649,0.2408606791827987,10.327721686877767,7.040546153307769,0,960,0
seoul,seoul_v5,v5,2026-03-16T02:04:42.243207,TabPFN,48,clean_only,True,42,9,20,116.43387301762898,44.391246241791485,182.8429762281926,74.69486886011863,0.3928693798327319,0.1517105105638075,12.457186607966822,4.768479543608769,0,960,0
seoul,seoul_v5,v5,2026-03-16T02:05:17.801215,TabPFN,168,clean_only,True,42,9,20,178.40429369495027,131.4335911275638,259.69295310097107,146.67756016534307,0.5800982793864331,0.4523567159758843,27.988381322992275,28.74771904737964,247,2369,5
seoul,seoul_v5,v5,2026-03-16T02:05:45.559656,TabPFN_NoWeather,6,clean_only,False,42,0,20,132.923331451416,135.91964372803687,164.56183617966713,169.9464282660782,0.4611440316705211,0.4712011716664027,13.28676429607627,10.89434885389473,0,960,0
seoul,seoul_v5,v5,2026-03-16T02:06:13.130517,TabPFN_NoWeather,24,clean_only,False,42,0,20,130.78342396418253,89.78929277109171,187.3998366075899,138.71332471335575,0.4487392416469301,0.3089742457811364,13.750665122940612,9.229243895533628,0,960,0
seoul,seoul_v5,v5,2026-03-16T02:06:40.842392,TabPFN_NoWeather,48,clean_only,False,42,0,20,151.16347285906477,65.62112007625625,225.7211517308017,106.15698868397976,0.5100703182955417,0.2239739039085747,15.803473787286617,6.201379807545886,0,960,0
seoul,seoul_v5,v5,2026-03-16T02:07:09.119012,TabPFN_NoWeather,168,clean_only,False,42,0,20,255.4889018887565,114.47334372826892,386.7278637560638,151.73206926790198,0.8215057889095945,0.3621244846347793,33.5118602623911,19.908308583193698,247,2369,5
seoul,seoul_v5,v5,2026-03-16T03:38:17.815781,SARIMAX,6,degraded,True,42,9,20,236.8629564926874,125.5697993234326,285.6013137966125,146.18358993791784,0.821230787940656,0.435286044155204,25.664585829860368,16.41945480225054,0,960,0
seoul,seoul_v5,v5,2026-03-16T05:12:26.348732,SARIMAX,24,degraded,True,42,9,20,253.58746166533456,85.07653013485769,307.2197546165529,118.4914261486324,0.8699598898909077,0.2967214517159828,29.92011718620251,7.497960971970582,0,960,0
seoul,seoul_v5,v5,2026-03-16T06:41:19.252791,SARIMAX,48,degraded,True,42,9,20,297.06290921432213,72.94797884179113,370.4129972100144,98.268936069811,1.0026558891516617,0.2500366128677497,34.67894431864639,6.121668798353577,0,960,0
seoul,seoul_v5,v5,2026-03-16T08:07:40.549089,SARIMAX,168,degraded,True,42,9,20,695.2767443168002,517.4494032780368,811.0391852179281,540.4158692336982,2.221959205297796,1.559167430868346,79.67960296488425,51.4934184929194,247,2369,5
seoul,seoul_v5,v5,2026-03-16T08:09:06.956606,XGBoost,6,degraded,True,42,13,20,246.6344685872396,262.47636688703165,281.33212802800483,280.22917709690864,0.855702774431362,0.9126513518343226,24.47023043602382,20.75374504724386,0,960,0
seoul,seoul_v5,v5,2026-03-16T08:10:34.560696,XGBoost,24,degraded,True,42,13,20,286.18075297673545,89.54072880688422,423.7975590572876,135.97223551450082,0.9810551956552236,0.3095639451704058,30.432109547318905,10.110781030059284,0,960,0
seoul,seoul_v5,v5,2026-03-16T08:12:03.183854,XGBoost,48,degraded,True,42,13,20,291.2713210026424,79.46944588004386,412.036878297518,112.4410122901402,0.9833095653346874,0.2747850687161134,33.670921654142305,6.8099456945556565,0,960,0
seoul,seoul_v5,v5,2026-03-16T08:13:37.719837,XGBoost,168,degraded,True,42,13,20,368.8215418181249,88.25050248440337,495.4053287679115,108.58495941145912,1.1861557781028336,0.2469694647821157,50.8084939555508,12.466549082852364,247,2369,5
seoul,seoul_v5,v5,2026-03-16T08:14:13.792363,TabPFN,6,degraded,True,42,9,20,404.5915972391764,360.233370829424,483.2147114483208,393.960648373886,1.4024124491861143,1.2485941548546136,46.85207331523377,32.2184336662681,0,960,0
seoul,seoul_v5,v5,2026-03-16T08:14:49.890635,TabPFN,24,degraded,True,42,9,20,291.8379931529363,92.35695630022384,440.60070773991873,132.40868907966518,1.0004422960547703,0.3200558861037295,35.97426007892353,11.258339914725484,0,960,0
seoul,seoul_v5,v5,2026-03-16T08:15:25.651105,TabPFN,48,degraded,True,42,9,20,286.5848826289177,81.70174633851738,411.7103746825002,120.0320920398283,0.96808405075242,0.2828572262557985,35.96238848698074,10.48405142018835,0,960,0
seoul,seoul_v5,v5,2026-03-16T08:16:00.974608,TabPFN,168,degraded,True,42,9,20,358.8962932802382,135.1024113870014,494.8412245460056,159.13395908584354,1.1566181264739994,0.4372785355768885,55.36575165305013,26.337147465943303,247,2369,5
washington,washington_v5,v5,2026-03-16T08:16:06.728735,Seasonal_Naive,6,clean_only,False,42,0,20,59.28333333333333,70.36162023673972,69.17268778443997,77.19414529665065,0.7301035100733659,0.8693576739080002,29.12087794871045,23.455890146715152,0,76,0
washington,washington_v5,v5,2026-03-16T08:16:07.531842,Seasonal_Naive,24,clean_only,False,42,0,20,74.76458333333333,57.37117254462154,107.1766853126293,73.7069663355064,0.914998241805816,0.7033926085563734,35.42814389969978,23.929357973299656,0,59,0
washington,washington_v5,v5,2026-03-16T08:16:07.750159,Seasonal_Naive,48,clean_only,False,42,0,20,101.56458333333332,59.238573991737525,148.45279566831482,82.6961832734416,1.2356010823342165,0.719508669465009,46.03496888643553,23.002009056105223,0,49,0
