MAE,RMSE,MASE,sMAPE,dataset,run_name,timestamp,fold,model,horizon,weather_scenario,model_uses_covariates,degradation_seed,num_weather_vars,test_imputed,train_imputed
390.5833333333333,531.0757949671591,2.032558351176635,39.68254840899721,SeoulBikeData,seoul_bike_baseline_v3,2026-01-04T21:00:30.242051,7,Seasonal_Naive,24,clean_only,False,42,0,0,48
173.29166666666666,278.8645878080136,0.8965837578148472,15.098236160234167,SeoulBikeData,seoul_bike_baseline_v3,2026-01-04T21:00:30.242284,8,Seasonal_Naive,24,clean_only,False,42,0,0,48
376.4583333333333,696.9065874754426,1.948863837530889,28.772249337076357,SeoulBikeData,seoul_bike_baseline_v3,2026-01-04T21:00:30.242547,9,Seasonal_Naive,24,clean_only,False,42,0,0,48
367.125,681.498379797536,1.890564461340628,28.23350729882746,SeoulBikeData,seoul_bike_baseline_v3,2026-01-04T21:00:30.243062,10,Seasonal_Naive,24,clean_only,False,42,0,0,48
83.0,95.90967973393856,0.425324690669515,8.764141100118366,SeoulBikeData,seoul_bike_baseline_v3,2026-01-04T21:00:30.243296,11,Seasonal_Naive,24,clean_only,False,42,0,0,48
217.625,351.95543041697766,1.1187343517191302,21.351267939188276,SeoulBikeData,seoul_bike_baseline_v3,2026-01-04T21:00:30.243516,12,Seasonal_Naive,24,clean_only,False,42,0,0,48
126.83333333333331,205.099163008206,0.6515825697657299,12.004811593354326,SeoulBikeData,seoul_bike_baseline_v3,2026-01-04T21:00:30.243728,13,Seasonal_Naive,24,clean_only,False,42,0,0,48
296.75,459.33611513429537,1.5273945456646778,32.88990084003342,SeoulBikeData,seoul_bike_baseline_v3,2026-01-04T21:00:30.243959,14,Seasonal_Naive,24,clean_only,False,42,0,0,48
123.29166666666669,239.64165956694592,0.6327846922728106,9.38337043396394,SeoulBikeData,seoul_bike_baseline_v3,2026-01-04T21:00:30.244377,15,Seasonal_Naive,24,clean_only,False,42,0,0,48
346.125,472.2325962912768,1.7799787754244916,32.49615701017332,SeoulBikeData,seoul_bike_baseline_v3,2026-01-04T21:00:30.244640,16,Seasonal_Naive,24,clean_only,False,42,0,0,48
442.8333333333333,552.1279290164554,2.267836088218812,38.6388867977925,SeoulBikeData,seoul_bike_baseline_v3,2026-01-04T21:00:30.244884,17,Seasonal_Naive,24,clean_only,False,42,0,0,48
174.66666666666666,276.3242358775888,0.8885009618507883,13.53739860286551,SeoulBikeData,seoul_bike_baseline_v3,2026-01-04T21:00:30.245131,18,Seasonal_Naive,24,clean_only,False,42,0,0,48
324.4166666666667,437.58256363799507,1.6512305234856992,27.027181331563497,SeoulBikeData,seoul_bike_baseline_v3,2026-01-04T21:00:30.245395,19,Seasonal_Naive,24,clean_only,False,42,0,0,48
304.4583333333333,509.4467178550995,1.6653355245782022,32.64553138944647,SeoulBikeData,seoul_bike_baseline_v3,2026-01-04T21:00:30.443102,0,Seasonal_Naive,48,clean_only,False,42,0,0,48
730.2083333333334,1025.605573145284,3.9517993962578672,84.40408627716306,SeoulBikeData,seoul_bike_baseline_v3,2026-01-04T21:00:30.443326,1,Seasonal_Naive,48,clean_only,False,42,0,0,48
169.85416666666666,281.4810162337773,0.8811729288019647,16.624524449569783,SeoulBikeData,seoul_bike_baseline_v3,2026-01-04T21:00:30.443536,2,Seasonal_Naive,48,clean_only,False,42,0,0,48
240.875,360.91232776580705,1.2529448098324176,23.63672848924871,SeoulBikeData,seoul_bike_baseline_v3,2026-01-04T21:00:30.443742,3,Seasonal_Naive,48,clean_only,False,42,0,0,48
225.60416666666663,422.2179285234897,1.167240383911635,20.411920167276087,SeoulBikeData,seoul_bike_baseline_v3,2026-01-04T21:00:30.443980,4,Seasonal_Naive,48,clean_only,False,42,0,0,48
379.3333333333333,674.6584320973095,1.953433078656801,31.138243701136915,SeoulBikeData,seoul_bike_baseline_v3,2026-01-04T21:00:30.444496,5,Seasonal_Naive,48,clean_only,False,42,0,0,48
258.8333333333333,407.8882097666794,1.3305720453530991,24.627786013479984,SeoulBikeData,seoul_bike_baseline_v3,2026-01-04T21:00:30.444788,6,Seasonal_Naive,48,clean_only,False,42,0,0,48
324.4375,499.4833372262449,1.6699041884046637,32.30736739508066,SeoulBikeData,seoul_bike_baseline_v3,2026-01-04T21:00:30.445088,7,Seasonal_Naive,48,clean_only,False,42,0,0,48
251.0,401.77885708434184,1.2907899534317009,20.797186654541655,SeoulBikeData,seoul_bike_baseline_v3,2026-01-04T21:00:30.445374,8,Seasonal_Naive,48,clean_only,False,42,0,0,48
327.5416666666667,451.37369034241834,1.6661512550355553,26.099362494346952,SeoulBikeData,seoul_bike_baseline_v3,2026-01-04T21:00:30.445652,9,Seasonal_Naive,48,clean_only,False,42,0,0,48
540.6875,752.8769128040342,2.7426007300603725,50.40030042535718,SeoulBikeData,seoul_bike_baseline_v3,2026-01-04T21:00:30.446071,10,Seasonal_Naive,48,clean_only,False,42,0,0,48
457.2291666666667,605.2055952319014,2.265943916477453,36.45494476053126,SeoulBikeData,seoul_bike_baseline_v3,2026-01-04T21:00:30.446340,11,Seasonal_Naive,48,clean_only,False,42,0,0,48
557.125,633.6474440359823,2.710547101472026,53.81520073737674,SeoulBikeData,seoul_bike_baseline_v3,2026-01-04T21:00:30.446646,12,Seasonal_Naive,48,clean_only,False,42,0,0,48
455.9375,569.3243254068809,2.1876810052630073,42.58833000622491,SeoulBikeData,seoul_bike_baseline_v3,2026-01-04T21:00:30.446907,13,Seasonal_Naive,48,clean_only,False,42,0,0,48
447.2708333333333,617.1485673374497,2.136912310546182,38.939913192240546,SeoulBikeData,seoul_bike_baseline_v3,2026-01-04T21:00:30.447155,14,Seasonal_Naive,48,clean_only,False,42,0,0,48
277.2708333333333,644.6350227066475,1.3158388747465686,15.816255774050672,SeoulBikeData,seoul_bike_baseline_v3,2026-01-04T21:00:30.447506,15,Seasonal_Naive,48,clean_only,False,42,0,0,48
167.72916666666666,292.7045225137459,0.7975131965015806,15.43987364430161,SeoulBikeData,seoul_bike_baseline_v3,2026-01-04T21:00:30.447776,16,Seasonal_Naive,48,clean_only,False,42,0,0,48
370.4166666666667,466.06718936222063,1.7648927921027002,32.98323861513485,SeoulBikeData,seoul_bike_baseline_v3,2026-01-04T21:00:30.448054,17,Seasonal_Naive,48,clean_only,False,42,0,0,48
669.0416666666666,938.9846910360149,3.1738481752699195,85.89286204837362,SeoulBikeData,seoul_bike_baseline_v3,2026-01-04T21:00:30.448319,18,Seasonal_Naive,48,clean_only,False,42,0,0,48
479.125,843.4618396821518,2.198634413363183,56.445237518247225,SeoulBikeData,seoul_bike_baseline_v3,2026-01-04T21:00:30.448563,19,Seasonal_Naive,48,clean_only,False,42,0,0,48
344.4642857142857,585.835473815774,1.884161309260016,37.83775475927181,SeoulBikeData,seoul_bike_baseline_v3,2026-01-04T21:00:30.630354,0,Seasonal_Naive,168,clean_only,False,42,0,0,48
368.2916666666667,520.4131314455395,1.916554647541101,32.795717766043154,SeoulBikeData,seoul_bike_baseline_v3,2026-01-04T21:00:30.630758,1,Seasonal_Naive,168,clean_only,False,42,0,0,48
316.625,500.9724650260588,1.6296926639294984,30.255048348864328,SeoulBikeData,seoul_bike_baseline_v3,2026-01-04T21:00:30.631030,2,Seasonal_Naive,168,clean_only,False,42,0,0,48
606.2083333333334,841.5800509415947,3.0414578457648456,60.834868548188616,SeoulBikeData,seoul_bike_baseline_v3,2026-01-04T21:00:30.631287,3,Seasonal_Naive,168,clean_only,False,42,0,0,48
355.9047619047619,516.1451438537512,1.7003953989762952,29.6489150349873,SeoulBikeData,seoul_bike_baseline_v3,2026-01-04T21:00:30.631520,4,Seasonal_Naive,168,clean_only,False,42,0,0,48
