,Skill Score (%)
TabPFN,44.204102350747085
XGBoost,36.16464084583995
TabPFN_NoWeather,31.8492699458645
Seasonal_Naive,0.0
Prophet,-17.328308167858374
SARIMAX,-23.708562458770068
NeuralProphet_NoWeather,-62.05749344799227
NeuralProphet,-64.07588781840433
ARIMA,-88.12660894051577
