family,dataset,horizon,n_folds,MASE_TabPFN,MASE_TabPFN_NoWeather,mean_diff,statistic,p_value,p_adjusted,significant,MASE_XGBoost,MASE_TabPFN_clean,MASE_TabPFN_degraded,MASE_XGBoost_clean,MASE_XGBoost_degraded
d_tabpfn_clean_vs_degraded,london,168,35,,,-0.1143,33.0,1.8702121451497078e-07,0.0,True,,0.5932,0.7075,,
d_tabpfn_clean_vs_degraded,seoul,6,980,,,-0.292,68190.0,4.836081833354473e-84,0.0,True,,0.5328,0.8248,,
d_tabpfn_clean_vs_degraded,seoul,24,245,,,-0.2759,3246.0,1.8199990301998042e-26,0.0,True,,0.6946,0.9704,,
d_tabpfn_clean_vs_degraded,seoul,48,122,,,-0.3078,392.0,9.20239025169816e-18,0.0,True,,0.7717,1.0795,,
d_tabpfn_clean_vs_degraded,seoul,168,35,,,-0.3637,2.0,1.7462298274040222e-10,0.0,True,,0.8129,1.1766,,
d_tabpfn_clean_vs_degraded,washington,6,980,,,-0.097,122548.0,2.6150870349136956e-40,0.0,True,,0.4812,0.5782,,
d_tabpfn_clean_vs_degraded,washington,24,245,,,-0.0921,5443.0,4.418195853294589e-18,0.0,True,,0.6011,0.6932,,
d_tabpfn_clean_vs_degraded,washington,48,122,,,-0.0889,1265.0,2.111614247979229e-10,0.0,True,,0.6577,0.7466,,
d_tabpfn_clean_vs_degraded,washington,168,35,,,-0.1301,10.0,2.5029294192790985e-09,0.0,True,,0.5994,0.7295,,
e_xgb_clean_vs_degraded,london,6,980,,,-0.0225,167597.0,2.247973147086593e-16,0.0,True,,,,0.5469,0.5695
e_xgb_clean_vs_degraded,london,24,245,,,-0.0244,9298.0,2.0384090968450614e-07,0.0,True,,,,0.6286,0.6531
e_xgb_clean_vs_degraded,london,48,122,,,-0.0232,1965.0,5.006882895009484e-06,0.0,True,,,,0.6578,0.681
e_xgb_clean_vs_degraded,london,168,35,,,-0.038,109.0,0.00044349912786856294,0.0018,True,,,,0.6792,0.7172
e_xgb_clean_vs_degraded,seoul,6,980,,,-0.0454,172508.0,1.9489019216688744e-14,0.0,True,,,,0.6634,0.7089
e_xgb_clean_vs_degraded,seoul,24,245,,,-0.0646,8780.0,1.493641995602677e-08,0.0,True,,,,0.8452,0.9099
e_xgb_clean_vs_degraded,seoul,48,122,,,-0.0656,2107.0,2.6493000453237276e-05,0.0001,True,,,,0.9391,1.0048
e_xgb_clean_vs_degraded,seoul,168,35,,,-0.0893,116.0,0.0007301834993995726,0.0022,True,,,,1.0441,1.1333
e_xgb_clean_vs_degraded,washington,6,980,,,-0.0394,172991.0,2.973713240008035e-14,0.0,True,,,,0.4891,0.5285
e_xgb_clean_vs_degraded,washington,24,245,,,-0.0367,10213.0,1.2323491293624822e-05,0.0001,True,,,,0.6626,0.6994
e_xgb_clean_vs_degraded,washington,48,122,,,-0.0379,2458.0,0.0009501489079429253,0.0022,True,,,,0.7198,0.7577
e_xgb_clean_vs_degraded,washington,168,35,,,-0.0564,139.0,0.0031909775570966303,0.0032,True,,,,0.7323,0.7887
