,TabPFN,XGBoost,TabPFN_NoWeather,Seasonal_Naive,Prophet,SARIMAX,NeuralProphet_NoWeather,NeuralProphet,ARIMA
6,100.0,100.0,100.0,50.0,0.0,66.66666666666667,0.0,0.0,0.0
24,100.0,100.0,100.0,50.0,0.0,0.0,0.0,0.0,0.0
48,100.0,100.0,100.0,50.0,33.333333333333336,33.333333333333336,0.0,0.0,0.0
168,100.0,100.0,100.0,50.0,0.0,0.0,0.0,0.0,0.0
