Horizon,TabPFN_Clean,TabPFN_Degraded,TabPFN_Degraded_%,XGBoost_Clean,XGBoost_Degraded,XGBoost_Degraded_%
6,0.495,0.654,30.323,0.566,0.602,6.326
24,0.635,0.786,22.461,0.712,0.754,5.682
48,0.689,0.853,22.244,0.772,0.814,5.249
168,0.669,0.871,28.076,0.819,0.88,7.278
Mean,0.622,0.791,25.727,0.717,0.762,6.131
