Horizon,TabPFN,TabPFN_NoWeather,Improvement,Improvement_%
6,170.5,441.42,270.92,61.37
24,169.57,266.1,96.53,36.28
48,208.94,298.72,89.78,30.06
168,176.7,317.73,141.03,44.39
