Model,Scenario,Mean_MAE,Std_MAE,CV_%
ARIMA,clean_only,728.29,128.13,17.59
SARIMAX,clean_only,304.32,52.59,17.28
Seasonal_Naive,clean_only,396.97,147.96,37.27
TabPFN,clean_only,181.43,40.32,22.22
TabPFN_NoWeather,clean_only,330.99,113.72,34.36
XGBoost,clean_only,880.2,138.06,15.69
SARIMAX,degraded,307.87,51.79,16.82
TabPFN,degraded,216.0,46.01,21.3
XGBoost,degraded,972.93,173.59,17.84
