horizon,TabPFN,XGBoost,TabPFN_NoWeather,Seasonal_Naive,Prophet,SARIMAX,NeuralProphet_NoWeather,NeuralProphet,ARIMA
6,151.41,188.24,185.11,300.33,340.1,266.23,692.11,665.47,434.54
24,194.56,238.61,272.89,300.33,349.93,381.95,386.67,375.43,524.54
48,216.12,263.02,315.66,356.93,369.35,452.39,445.7,417.1,542.79
168,222.25,282.32,313.9,340.39,401.53,720.15,407.0,400.94,552.13
