Horizon,TabPFN,TabPFN_NoWeather,Improvement,Improvement_%
6,123.438138961792,132.923331451416,9.49,7.14
24,100.7378395398458,130.78342396418253,30.05,22.98
48,116.43387301762898,151.16347285906477,34.73,22.98
168,178.40429369495027,255.4889018887565,77.08,30.17
Mean,129.75,167.59,37.84,20.82
