Horizon,XGBoost_%,SARIMAX_%,TabPFN_%,NeuralProphet_%
6,87.13,5.35,227.77,0.84
24,160.67,4.6,189.7,5.13
48,127.36,2.8,146.14,3.21
168,96.39,1.44,101.17,11.0
