Horizon,NeuralProphet,NeuralProphet_NoWeather,Improvement,Improvement_%
6,665.4663525549732,692.10502672311,26.64,3.85
24,375.42682807011664,386.6715795642664,11.24,2.91
48,417.1011816932123,445.6985465214064,28.6,6.42
168,400.94130427437983,406.99582491851584,6.05,1.49
Mean,464.73,482.87,18.13,3.67
