model,Rank,MAE,RMSE,MASE,sMAPE,delta_MAE,delta_RMSE,delta_MASE,delta_sMAPE
TabPFN,1,129.75,187.87,0.44,15.48,,,,
XGBoost,2,139.37,187.84,0.47,15.8,9.62,-0.03,0.03,0.32
TabPFN_NoWeather,3,167.59,241.1,0.56,19.09,37.84,53.23,0.12,3.61
Seasonal_Naive,4,211.53,301.39,0.71,25.9,81.78,113.52,0.27,10.42
Prophet,5,333.5,401.1,1.12,40.64,203.75,213.23,0.68,25.16
SARIMAX,6,360.41,429.97,1.19,41.71,230.66,242.1,0.75,26.23
NeuralProphet,7,440.15,542.13,1.49,48.44,310.4,354.26,1.05,32.96
NeuralProphet_NoWeather,8,445.13,547.6,1.51,49.01,315.38,359.73,1.07,33.53
ARIMA,9,558.48,641.59,1.88,60.79,428.73,453.72,1.44,45.31
