Horizon,XGBoost_%,SARIMAX_%,TabPFN_%,NeuralProphet_%
6,7.74,3.52,61.43,0.22
24,8.7,3.15,45.88,5.32
48,7.7,2.61,45.69,10.85
168,9.98,2.71,52.58,16.48
