Horizon,TabPFN,TabPFN_NoWeather,Improvement,Improvement_%
6,151.4059853462946,185.10829087341725,33.7,18.21
24,194.56022114899693,272.8914288426743,78.33,28.7
48,216.1229933568689,315.6625871449872,99.54,31.53
168,222.2533489118628,313.8958636617985,91.64,29.19
Mean,196.09,271.89,75.8,26.91
