Model,Clean_MAE,Degraded_MAE,Increase,Increase_%
SARIMAX,455.18,468.35,13.17,2.89
NeuralProphet,464.73,497.92,33.19,7.14
XGBoost,243.05,263.99,20.94,8.62
TimesFM,273.12,381.36,108.24,39.63
TabPFN,196.09,295.56,99.47,50.73
