Horizon,TabPFN,TabPFN_NoWeather,Improvement,Improvement_%
6,21.09053335587184,26.649506676197053,5.56,20.86
24,32.40349605182807,38.84810230731965,6.44,16.58
48,32.74009406218926,46.54500109950702,13.8,29.65
168,40.998316571684114,53.43578814601615,12.44,23.28
Mean,31.81,41.37,9.56,22.59
