Horizon,XGBoost_%,SARIMAX_%,TabPFN_%,NeuralProphet_%
6,8.26,214.45,20.41,20.71
24,6.01,176.21,15.58,128.31
48,5.44,174.59,13.95,215.75
168,7.8,191.76,22.29,377.38
