Model,Clean_MAE,Degraded_MAE,Increase,Increase_%
XGBoost,40.61,47.8,7.19,17.71
TabPFN,31.81,48.67,16.86,53.0
SARIMAX,118.63,243.74,125.11,105.47
NeuralProphet,172.64,425.77,253.14,146.63
