Horizon,TabPFN,TabPFN_NoWeather,Improvement,Improvement_%
6,39.67020042830584,43.27135742582431,3.6,8.32
24,49.38233652881214,57.080306689674345,7.7,13.49
48,53.65973891301559,61.57893514686107,7.92,12.86
168,50.557293066321584,59.89972644703729,9.34,15.59
Mean,48.32,55.46,7.14,12.57
