Horizon,NeuralProphet,NeuralProphet_NoWeather,Improvement,Improvement_%
6,236.35650063785565,243.09701001668464,6.74,2.77
24,123.05592127112912,118.09216039531488,-4.96,-4.2
48,148.20628821513935,139.6920431398995,-8.51,-6.09
168,121.9454018825982,106.01237803102552,-15.93,-15.03
Mean,157.39,151.72,-5.66,-5.64
