model,Rank,MAE,RMSE,MASE,sMAPE,delta_MAE,delta_RMSE,delta_MASE,delta_sMAPE
TabPFN,1,31.81,47.92,0.39,17.86,,,,
XGBoost,2,40.61,61.26,0.49,21.92,8.8,13.34,0.1,4.06
TabPFN_NoWeather,3,41.37,63.52,0.5,21.2,9.56,15.6,0.11,3.34
Seasonal_Naive,4,82.19,118.39,1.0,40.29,50.38,70.47,0.61,22.43
Prophet,5,103.09,138.39,1.25,60.47,71.28,90.47,0.86,42.61
SARIMAX,6,118.63,148.58,1.44,68.91,86.82,100.66,1.05,51.05
NeuralProphet_NoWeather,7,164.58,209.89,2.01,76.81,132.77,161.97,1.62,58.95
NeuralProphet,8,172.64,227.01,2.11,76.87,140.83,179.09,1.72,59.01
ARIMA,9,211.51,269.36,2.57,96.1,179.7,221.44,2.18,78.24
